,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr
750,142980,682,128649,329,8628,353,20220211,5703,0
751,143243,263,128901,252,8636,8,20220212,5706,3
752,143706,463,128984,83,9016,380,20220213,5706,0
753,145288,1582,129644,660,9936,920,20220214,5708,2
754,146040,752,129958,314,10370,434,20220215,5712,4
755,146980,940,130287,329,10978,608,20220216,5715,3
756,147593,613,130585,298,11282,304,20220217,5726,11
757,149205,1612,130914,329,12545,1263,20220218,5746,20
758,149851,646,131233,319,12854,309,20220219,5764,18
759,150405,554,131502,269,13127,273,20220220,5776,12
760,154162,3757,131814,312,16560,3433,20220221,5788,12
761,157074,2912,132159,345,19091,2531,20220222,5824,36
762,161154,4080,132482,323,22799,3708,20220223,5873,49
763,163972,2818,132807,325,25252,2453,20220224,5913,40
764,168129,4157,133169,362,28974,3722,20220225,5986,73
765,173931,5802,133544,375,34321,5347,20220226,6066,80
766,198691,24760,133993,449,58550,24229,20220227,6148,82
767,210217,11526,134764,771,69220,10670,20220228,6233,85
768,228499,18282,135431,667,86589,17369,20220301,6479,246
769,249048,20549,136140,709,106251,19662,20220302,6657,178
770,269138,20090,136788,648,125495,19244,20220303,6855,198
771,300851,31713,137402,614,156406,30911,20220304,7043,188
772,319225,18374,138250,848,173712,17306,20220305,7263,220
773,338496,19271,139056,806,191944,18232,20220306,7496,233
774,344585,6089,139554,498,197255,5311,20220307,7776,280
775,359739,15154,140513,959,211159,13904,20220308,8067,291
776,372123,12384,141446,933,222319,11160,20220309,8358,291
777,380238,8115,142466,1020,229133,6814,20220310,8639,281
778,385997,5759,143494,1028,233570,4437,20220311,8933,294
779,391716,5719,144623,1129,237875,4305,20220312,9218,285
780,397659,5943,145499,876,242678,4803,20220313,9482,264
781,405360,7701,146023,524,249569,6891,20220314,9768,286
782,410827,5467,147084,1061,253686,4117,20220315,10057,289
783,415480,4653,148389,1305,256755,3069,20220316,10336,279
784,420134,4654,149838,1449,259671,2916,20220317,10625,289
785,424297,4163,151526,1688,261879,2208,20220318,10892,267
786,427848,3551,153047,1521,263660,1781,20220319,11141,249
787,431271,3423,154514,1467,265370,1710,20220320,11387,246
788,434834,3563,155494,980,267730,2360,20220321,11610,223
789,438647,3813,157432,1938,269360,1630,20220322,11855,245
790,441865,3218,159794,2362,270011,651,20220323,12060,205
791,445069,3204,161905,2111,270903,892,20220324,12261,201
792,447162,2093,164215,2310,270494,-409,20220325,12453,192
793,449283,2121,166661,2446,270030,-464,20220326,12592,139
794,451447,2164,168586,1925,270118,88,20220327,12743,151
795,453469,2022,170177,1591,270381,263,20220328,12911,168
796,455633,2164,172755,2578,269816,-565,20220329,13062,151
